route_id,agency_id,route_short_name,route_long_name,route_type
Route_30,IMEPLAN_Tampico,Route_30,Ganadera por Divisoria,3
Route_32,IMEPLAN_Tampico,Route_32,Madero - Heriberto Kehoe - Las Flores,3
Route_31,IMEPLAN_Tampico,Route_31,Tierra Alta - Niños Héroes - Casa Blanca,3
Route_29,IMEPLAN_Tampico,Route_29,Águila Echeverría - Panteón,3
Route_33,IMEPLAN_Tampico,Route_33,Madero - La Paz,3
Route_34,IMEPLAN_Tampico,Route_34,Las flores - Madero -,3
Route_35,IMEPLAN_Tampico,Route_35,Madero - Ganadera - Niños Héroes,3
Route_40,IMEPLAN_Tampico,Route_40,Playa Norte - Refinería,3
Route_37,IMEPLAN_Tampico,Route_37,Escolleras - Madero,3
Route_39,IMEPLAN_Tampico,Route_39,Playa Sur - Refinería,3
Route_36,IMEPLAN_Tampico,Route_36,Santa Amalia - Polvorín - Madero -,3
Route_38,IMEPLAN_Tampico,Route_38,Circuito Norte,3
Route_41,IMEPLAN_Tampico,Route_41,Unidad Morelos UAT - Madero - Col Árbol Grande,3
Route_42,IMEPLAN_Tampico,Route_42,Pedro José Méndez - Carnitas Orta,3
Route_43,IMEPLAN_Tampico,Route_43,Aviación por Boulevard,3
Route_47,IMEPLAN_Tampico,Route_47,Cetir 78 Bosques por Boulevard,3
Route_44,IMEPLAN_Tampico,Route_44,Obrera por Republica de Cuba,3
Route_45,IMEPLAN_Tampico,Route_45,E. C. González por Av. Hidalgo,3
Route_48,IMEPLAN_Tampico,Route_48,Germinal por Boulevard,3
Route_46,IMEPLAN_Tampico,Route_46,El Blanco - Kínder - Las Flores,3
Route_50,IMEPLAN_Tampico,Route_50,Colonia Del Valle,3
Route_49,IMEPLAN_Tampico,Route_49,Tancol,3
Route_51,IMEPLAN_Tampico,Route_51,Serapio Venegas por Boulevard,3
Route_52,IMEPLAN_Tampico,Route_52,Santa Elena - Ampliación. - U. Nacional por Boulevard,3
Route_55,IMEPLAN_Tampico,Route_55,Bosque,3
Route_53,IMEPLAN_Tampico,Route_53,Altamira,3
Route_54,IMEPLAN_Tampico,Route_54,Col Nuevo Tampico - Altamira por Carnitas Ortas,3
Route_56,IMEPLAN_Tampico,Route_56,Bellavista,3
Route_58,IMEPLAN_Tampico,Route_58,Madero - Rev. Verde,3
Route_57,IMEPLAN_Tampico,Route_57,Tancol,3
Route_59,IMEPLAN_Tampico,Route_59,Águila - Madero,3
Route_60,IMEPLAN_Tampico,Route_60,Madero - Blanco Palmas,3
Route_64,IMEPLAN_Tampico,Route_64,Madero - Barra,3
Route_63,IMEPLAN_Tampico,Route_63,Seguro Social - Lomas de Infonavit,3
Route_61,IMEPLAN_Tampico,Route_61,Obrera - Penal,3
Route_62,IMEPLAN_Tampico,Route_62,Obrera - Madero,3
Route_65,IMEPLAN_Tampico,Route_65,Águila,3
Route_66,IMEPLAN_Tampico,Route_66,Madero - El Blanco,3
Route_67,IMEPLAN_Tampico,Route_67,Central Camionera - Madero,3
Route_68,IMEPLAN_Tampico,Route_68,Madero,3
Route_69,IMEPLAN_Tampico,Route_69,Madero - Candelario Garza,3
Route_71,IMEPLAN_Tampico,Route_71,Galeana por Sección 21,3
Route_70,IMEPLAN_Tampico,Route_70,Germinal por Boulevard,3
Route_72,IMEPLAN_Tampico,Route_72,Colonias,3
Route_73,IMEPLAN_Tampico,Route_73,Central Camionera por Perimetral,3
Route_74,IMEPLAN_Tampico,Route_74,Isleta Pérez,3
Route_75,IMEPLAN_Tampico,Route_75,Morelos - Moralillo,3
Route_76,IMEPLAN_Tampico,Route_76,Cascajal,3
Route_77,IMEPLAN_Tampico,Route_77,Madero - Universidad,3
Route_78,IMEPLAN_Tampico,Route_78,Germinal por Águilas,3
Route_79,IMEPLAN_Tampico,Route_79,MAUN,3
Route_80,IMEPLAN_Tampico,Route_80,Universidad,3
Route_81,IMEPLAN_Tampico,Route_81,Golfo,3
Route_82,IMEPLAN_Tampico,Route_82,Bellavista,3
Route_83,IMEPLAN_Tampico,Route_83,Tampico - Playa,3
Route_84,IMEPLAN_Tampico,Route_84,Moralillo Veracruz.,3
Route_85,IMEPLAN_Tampico,Route_85,Madero Polvorín,3
Route_86,IMEPLAN_Tampico,Route_86,Águila Echeverría,3
Route_87,IMEPLAN_Tampico,Route_87,Madero - Heriberto Kehoe - Las Flores,3
Route_88,IMEPLAN_Tampico,Route_88,Altamira - Batería 7 Ampliación. Adolfo López Mateos,3
Route_88A,IMEPLAN_Tampico,Route_88A,Altamira - Batería 7 - Los Presidentes,3
Route_89A,IMEPLAN_Tampico,Route_89A,Altamira - Tampiquito por Soriana,3
Route_90,IMEPLAN_Tampico,Route_90,Altamira - Ej. Lomas del Real - Barranco,3
