route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
Vía Circuito Atemajac_641_Vía Circuito Atemajac,641_Vía Circuito Atemajac_Vía Circuito Atemajac_641_Vía Circuito Atemajac,2,shape_658,weekday,5,1
Circuito Belenes_641_Circuito Belenes,641_Circuito Belenes_Circuito Belenes_641_Circuito Belenes,2,shape_659,weekday,5,1
A Circunvalación Atemajac_641_A Circunvalación Atemajac,641_A Circunvalación Atemajac_A Circunvalación Atemajac_641_A Circunvalación Atemajac,2,shape_660,weekday,5,1
A Vía Belenes_641_A Vía Belenes,641_A Vía Belenes_A Vía Belenes_641_A Vía Belenes,2,shape_661,weekday,5,1
Vía Urbiquintas_643_Vía Urbiquintas,643_Vía Urbiquintas_Vía Urbiquintas_643_Vía Urbiquintas,2,shape_481,weekday,5,1
B Vía Jauja_644_B Vía Jauja,644_B Vía Jauja_B Vía Jauja_644_B Vía Jauja,2,shape_477,weekday,5,1
B Vía Santibañez_644_B Vía Santibañez,644_B Vía Santibañez_B Vía Santibañez_644_B Vía Santibañez,2,shape_478,weekday,5,1
B Vía Capacha_644_B Vía Capacha,644_B Vía Capacha_B Vía Capacha_644_B Vía Capacha,2,shape_479,weekday,5,1
A Km 13_644_A Km 13,644_A Km 13_A Km 13_644_A Km 13,2,shape_480,weekday,5,1
A Vía El Tapatío_644_A Vía El Tapatío,644_A Vía El Tapatío_A Vía El Tapatío_644_A Vía El Tapatío,2,shape_482,weekday,5,1
A Vía Alamo_644_A Vía Alamo,644_A Vía Alamo_A Vía Alamo_644_A Vía Alamo,2,shape_483,weekday,5,1
A Vía Las Liebres_644_A Vía Las Liebres,644_A Vía Las Liebres_A Vía Las Liebres_644_A Vía Las Liebres,2,shape_484,weekday,5,1
B Vía Carril_644_B Vía Carril,644_B Vía Carril_B Vía Carril_644_B Vía Carril,2,shape_485,weekday,5,1
A Vía Curva_644_A Vía Curva,644_A Vía Curva_A Vía Curva_644_A Vía Curva,2,shape_486,weekday,5,1
B Vía San Martín_644_B Vía San Martín,644_B Vía San Martín_B Vía San Martín_644_B Vía San Martín,2,shape_487,weekday,5,1
Vía Arboledas_645_Vía Arboledas,645_Vía Arboledas_Vía Arboledas_645_Vía Arboledas,2,shape_652,weekday,5,1
Vía Prepa 13_645_Vía Prepa 13,645_Vía Prepa 13_Vía Prepa 13_645_Vía Prepa 13,2,shape_653,weekday,5,1
Topacio_645_Topacio,645_Topacio_Topacio_645_Topacio,2,shape_654,weekday,5,1
_646_,646___646_,2,shape_493,weekday,5,1
_647_,647___647_,2,shape_492,weekday,5,1
Vía 2_647_Vía 2,647_Vía 2_Vía 2_647_Vía 2,2,shape_495,weekday,5,1
_701_,701___701_,2,shape_651,weekday,5,1
Turquesa A_703_Turquesa A,703_Turquesa A_Turquesa A_703_Turquesa A,2,shape_649,weekday,5,1
Turquesa B_703_Turquesa B,703_Turquesa B_Turquesa B_703_Turquesa B,2,shape_650,weekday,5,1
Premier UT VIP Class A_706_Premier UT VIP Class A,706_Premier UT VIP Class A_Premier UT VIP Class A_706_Premier UT VIP Class A,2,shape_645,weekday,5,1
TUR RIO_706_TUR RIO,706_TUR RIO_TUR RIO_706_TUR RIO,2,shape_646,weekday,5,1
TUR CENT_706_TUR CENT,706_TUR CENT_TUR CENT_706_TUR CENT,2,shape_647,weekday,5,1
Premier UT VIP Class Base Aérea_706_Premier UT VIP Class Base Aérea,706_Premier UT VIP Class Base Aérea_Premier UT VIP Class Base Aérea_706_Premier UT VIP Class Base Aérea,2,shape_648,weekday,5,1
TUR MIR_707_TUR MIR,707_TUR MIR_TUR MIR_707_TUR MIR,2,shape_633,weekday,5,1
TUR  ITESO_709_TUR  ITESO,709_TUR  ITESO_TUR  ITESO_709_TUR  ITESO,2,shape_644,weekday,5,1
Punta de Mita_Línea Puerto Vallarta_Punta de Mita,Línea Puerto Vallarta_Punta de Mita_Punta de Mita_Línea Puerto Vallarta_Punta de Mita,2,shape_662,weekday,5,1
Valle Dorado_Línea Puerto Vallarta_Valle Dorado,Línea Puerto Vallarta_Valle Dorado_Valle Dorado_Línea Puerto Vallarta_Valle Dorado,2,shape_664,weekday,5,1
Línea 1_Macrobus_Línea 1,Macrobus_Línea 1_Línea 1_Macrobus_Línea 1,2,shape_591,weekday,5,1
Línea 3 (Ruta 400)_SiTren_Línea 3 (Ruta 400),SiTren_Línea 3 (Ruta 400)_Línea 3 (Ruta 400)_SiTren_Línea 3 (Ruta 400),2,shape_588,weekday,5,1
Línea 1_SiTren_Línea 1,SiTren_Línea 1_Línea 1_SiTren_Línea 1,2,shape_589,weekday,5,1
Línea 2_SiTren_Línea 2,SiTren_Línea 2_Línea 2_SiTren_Línea 2,2,shape_590,weekday,5,1
Línea 1_Tren Ligero_Línea 1,Tren Ligero_Línea 1_Línea 1_Tren Ligero_Línea 1,2,shape_592,weekday,5,1
Línea 2_Tren Ligero_Línea 2,Tren Ligero_Línea 2_Línea 2_Tren Ligero_Línea 2,2,shape_593,weekday,5,1
