shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_75-1,21,-97.86094,22.21459
shape_75-1,22,-97.86344,22.21565
shape_75-1,23,-97.86406,22.21446
shape_75-1,24,-97.86477,22.21474
shape_75-1,25,-97.86615,22.215
shape_75-1,26,-97.86779,22.21561
shape_75-1,27,-97.8682,22.21599
shape_75-1,28,-97.87076,22.21697
shape_75-1,29,-97.87049,22.21754
shape_75-1,30,-97.88531,22.22328
shape_75-1,31,-97.88681,22.22293
shape_75-1,32,-97.89072,22.22448
shape_75-1,33,-97.89207,22.22467
shape_75-1,34,-97.894,22.22491
shape_59-1,0,-97.8727,22.24762
shape_59-1,1,-97.87185,22.24809
shape_59-1,2,-97.87145,22.24736
shape_59-1,3,-97.86721,22.2494
shape_59-1,4,-97.86597,22.24993
shape_59-1,5,-97.86357,22.25062
shape_59-1,6,-97.85357,22.25355
shape_59-1,7,-97.85168,22.25409
shape_59-1,8,-97.83523,22.24485
shape_59-1,9,-97.83433,22.24626
shape_59-1,10,-97.83433,22.24626
shape_59-1,11,-97.83553,22.24694
shape_59-1,12,-97.85003,22.25461
shape_59-1,13,-97.85357,22.25355
shape_59-1,14,-97.86357,22.25062
shape_59-1,15,-97.86597,22.24993
shape_59-1,16,-97.87233,22.24696
shape_59-1,17,-97.87269,22.24762
shape_56-1,0,-97.87378,22.23843
shape_56-1,1,-97.87344,22.23787
shape_56-1,2,-97.87314,22.23557
shape_56-1,3,-97.87264,22.23489
shape_56-1,4,-97.87232,22.23429
shape_56-1,5,-97.8722,22.23367
shape_56-1,6,-97.87232,22.23287
shape_56-1,7,-97.87273,22.23242
shape_56-1,8,-97.87258,22.23184
shape_56-1,9,-97.87219,22.23143
shape_56-1,10,-97.87157,22.23113
shape_56-1,11,-97.87075,22.23053
shape_56-1,12,-97.86984,22.22815
shape_56-1,13,-97.86818,22.22768
shape_56-1,14,-97.86652,22.2236
shape_56-1,15,-97.86593,22.22388
shape_56-1,16,-97.86447,22.22338
shape_56-1,17,-97.86345,22.22353
shape_56-1,18,-97.8632,22.22093
shape_56-1,19,-97.86318,22.22047
shape_56-1,20,-97.86269,22.21941
shape_56-1,21,-97.85758,22.21714
shape_56-1,22,-97.85884,22.21477
shape_56-1,23,-97.85964,22.21517
shape_56-1,24,-97.85797,22.21837
shape_56-1,25,-97.86318,22.22063
shape_56-1,26,-97.86318,22.22063
shape_56-1,27,-97.85797,22.21837
shape_56-1,28,-97.85964,22.21517
shape_56-1,29,-97.85884,22.21477
shape_56-1,30,-97.85758,22.21714
shape_56-1,31,-97.86269,22.21941
shape_56-1,32,-97.86318,22.22047
shape_56-1,33,-97.8632,22.22093
shape_56-1,34,-97.86345,22.22353
shape_56-1,35,-97.86447,22.22338
shape_56-1,36,-97.86593,22.22388
shape_56-1,37,-97.86652,22.2236
shape_56-1,38,-97.86818,22.22768
shape_56-1,39,-97.86984,22.22815
shape_56-1,40,-97.87075,22.23053
shape_56-1,41,-97.87157,22.23113
shape_56-1,42,-97.87219,22.23143
shape_56-1,43,-97.87258,22.23184
shape_56-1,44,-97.87273,22.23242
shape_56-1,45,-97.87232,22.23287
shape_56-1,46,-97.8722,22.23367
shape_56-1,47,-97.87232,22.23429
shape_56-1,48,-97.87264,22.23489
shape_56-1,49,-97.87314,22.23557
shape_56-1,50,-97.87344,22.23787
shape_73-1,0,-97.85797,22.2494
shape_73-1,1,-97.85755,22.24653
shape_73-1,2,-97.85527,22.24536
shape_73-1,3,-97.85529,22.2427
shape_73-1,4,-97.85518,22.24214
shape_73-1,5,-97.85815,22.24029
shape_73-1,6,-97.859,22.23664
shape_73-1,7,-97.85883,22.23617
shape_73-1,8,-97.85713,22.23464
shape_73-1,9,-97.85711,22.23398
shape_73-1,10,-97.85724,22.23355
shape_73-1,11,-97.85893,22.23186
shape_73-1,12,-97.85951,22.23112
shape_73-1,13,-97.85968,22.23047
shape_73-1,14,-97.85858,22.22603
shape_73-1,15,-97.85773,22.22551
shape_73-1,16,-97.85944,22.22188
shape_73-1,17,-97.85581,22.22031
shape_73-1,18,-97.85922,22.21398
shape_73-1,19,-97.85835,22.21359
shape_73-1,20,-97.85809,22.21406
shape_73-1,21,-97.85809,22.21406
shape_73-1,22,-97.85773,22.21478
shape_73-1,23,-97.85668,22.21683
shape_73-1,24,-97.854,22.22166
shape_73-1,25,-97.85595,22.22189
shape_73-1,26,-97.85668,22.22255
shape_73-1,27,-97.85671,22.22348
shape_73-1,28,-97.85621,22.22436
shape_73-1,29,-97.85617,22.22493
shape_73-1,30,-97.85692,22.22545
shape_73-1,31,-97.85773,22.22551
shape_73-1,32,-97.85858,22.22603
shape_73-1,33,-97.85968,22.23047
shape_73-1,34,-97.85951,22.23112
shape_73-1,35,-97.85893,22.23186
shape_73-1,36,-97.85724,22.23355
shape_73-1,37,-97.85711,22.23398
shape_73-1,38,-97.85713,22.23464
shape_73-1,39,-97.85883,22.23617
shape_73-1,40,-97.859,22.23664
shape_73-1,41,-97.85815,22.24029
shape_73-1,42,-97.85518,22.24214
shape_73-1,43,-97.85529,22.2427
shape_73-1,44,-97.85527,22.24536
shape_73-1,45,-97.85755,22.24653
shape_85-1,0,-97.84325,22.26962
