route_id,direction_id,shape_id,service_id,trip_id
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_1
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_2
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_3
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_4
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_5
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_6
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_7
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_8
r105A,1,shape_105A-1,srv1111111,r105A_trip_00_9
r105,1,shape_105-1,srv1111111,r105_trip_00_1
r105,1,shape_105-1,srv1111111,r105_trip_00_2
r105,1,shape_105-1,srv1111111,r105_trip_00_3
r105,1,shape_105-1,srv1111111,r105_trip_00_4
r105,1,shape_105-1,srv1111111,r105_trip_00_5
r105,1,shape_105-1,srv1111111,r105_trip_00_6
r105,1,shape_105-1,srv1111111,r105_trip_00_7
r105,1,shape_105-1,srv1111111,r105_trip_00_8
r105,1,shape_105-1,srv1111111,r105_trip_00_9
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_1
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_2
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_3
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_4
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_5
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_6
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_7
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_8
r106A,1,shape_106A-1,srv1111111,r106A_trip_00_9
r106,1,shape_106-1,srv1111111,r106_trip_00_1
r106,1,shape_106-1,srv1111111,r106_trip_00_2
r106,1,shape_106-1,srv1111111,r106_trip_00_3
r106,1,shape_106-1,srv1111111,r106_trip_00_4
r106,1,shape_106-1,srv1111111,r106_trip_00_5
r106,1,shape_106-1,srv1111111,r106_trip_00_6
r106,1,shape_106-1,srv1111111,r106_trip_00_7
r106,1,shape_106-1,srv1111111,r106_trip_00_8
r106,1,shape_106-1,srv1111111,r106_trip_00_9
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_1
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_2
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_3
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_4
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_5
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_6
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_7
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_8
r107A,1,shape_107A-1,srv1111111,r107A_trip_00_9
r107,1,shape_107-1,srv1111111,r107_trip_00_1
r107,1,shape_107-1,srv1111111,r107_trip_00_2
r107,1,shape_107-1,srv1111111,r107_trip_00_3
r107,1,shape_107-1,srv1111111,r107_trip_00_4
r107,1,shape_107-1,srv1111111,r107_trip_00_5
r107,1,shape_107-1,srv1111111,r107_trip_00_6
r107,1,shape_107-1,srv1111111,r107_trip_00_7
r107,1,shape_107-1,srv1111111,r107_trip_00_8
r107,1,shape_107-1,srv1111111,r107_trip_00_9
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_1
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_2
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_3
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_4
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_5
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_6
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_7
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_8
r108A,1,shape_108A-1,srv1111111,r108A_trip_00_9
r108,1,shape_108-1,srv1111111,r108_trip_00_1
r108,1,shape_108-1,srv1111111,r108_trip_00_2
r108,1,shape_108-1,srv1111111,r108_trip_00_3
r108,1,shape_108-1,srv1111111,r108_trip_00_4
r108,1,shape_108-1,srv1111111,r108_trip_00_5
r108,1,shape_108-1,srv1111111,r108_trip_00_6
r108,1,shape_108-1,srv1111111,r108_trip_00_7
r108,1,shape_108-1,srv1111111,r108_trip_00_8
r108,1,shape_108-1,srv1111111,r108_trip_00_9
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_1
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_2
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_3
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_4
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_5
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_6
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_7
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_8
r109A,1,shape_109A-1,srv1111111,r109A_trip_00_9
r109,1,shape_109-1,srv1111111,r109_trip_00_1
r109,1,shape_109-1,srv1111111,r109_trip_00_2
r109,1,shape_109-1,srv1111111,r109_trip_00_3
r109,1,shape_109-1,srv1111111,r109_trip_00_4
r109,1,shape_109-1,srv1111111,r109_trip_00_5
r109,1,shape_109-1,srv1111111,r109_trip_00_6
r109,1,shape_109-1,srv1111111,r109_trip_00_7
r109,1,shape_109-1,srv1111111,r109_trip_00_8
r109,1,shape_109-1,srv1111111,r109_trip_00_9
r10,1,shape_10-1,srv1111111,r10_trip_00_1
r10,1,shape_10-1,srv1111111,r10_trip_00_2
r10,1,shape_10-1,srv1111111,r10_trip_00_3
r10,1,shape_10-1,srv1111111,r10_trip_00_4
r10,1,shape_10-1,srv1111111,r10_trip_00_5
r10,1,shape_10-1,srv1111111,r10_trip_00_6
r10,1,shape_10-1,srv1111111,r10_trip_00_7
r10,1,shape_10-1,srv1111111,r10_trip_00_8
r10,1,shape_10-1,srv1111111,r10_trip_00_9
r110,1,shape_110-1,srv1111111,r110_trip_00_1
r110,1,shape_110-1,srv1111111,r110_trip_00_2
r110,1,shape_110-1,srv1111111,r110_trip_00_3
r110,1,shape_110-1,srv1111111,r110_trip_00_4
r110,1,shape_110-1,srv1111111,r110_trip_00_5
r110,1,shape_110-1,srv1111111,r110_trip_00_6
r110,1,shape_110-1,srv1111111,r110_trip_00_7
r110,1,shape_110-1,srv1111111,r110_trip_00_8
r110,1,shape_110-1,srv1111111,r110_trip_00_9
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_1
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_2
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_3
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_4
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_5
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_6
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_7
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_8
r111A,1,shape_111A-1,srv1111111,r111A_trip_00_9
r112,1,shape_112-1,srv1111111,r112_trip_00_1
r112,1,shape_112-1,srv1111111,r112_trip_00_2
r112,1,shape_112-1,srv1111111,r112_trip_00_3
r112,1,shape_112-1,srv1111111,r112_trip_00_4
r112,1,shape_112-1,srv1111111,r112_trip_00_5
r112,1,shape_112-1,srv1111111,r112_trip_00_6
r112,1,shape_112-1,srv1111111,r112_trip_00_7
r112,1,shape_112-1,srv1111111,r112_trip_00_8
r112,1,shape_112-1,srv1111111,r112_trip_00_9
r113,1,shape_113-1,srv1111111,r113_trip_00_1
r113,1,shape_113-1,srv1111111,r113_trip_00_2
r113,1,shape_113-1,srv1111111,r113_trip_00_3
r113,1,shape_113-1,srv1111111,r113_trip_00_4
r113,1,shape_113-1,srv1111111,r113_trip_00_5
