stop_id,stop_name,stop_lon,stop_lat,route,sequence
st_r7_shape_7_0155,st_r7_shape_7_0155,-97.8496131562227,22.2239806174768,r7,155
st_r7_shape_7_0156,st_r7_shape_7_0156,-97.8504871180066,22.2223677027942,r7,156
st_r7_shape_7_0157,st_r7_shape_7_0157,-97.8513610591211,22.2207547822518,r7,157
st_r7_shape_7_0158,st_r7_shape_7_0158,-97.8522349795688,22.2191418558506,r7,158
st_r7_shape_7_0159,st_r7_shape_7_0159,-97.8531088793523,22.217528923592,r7,159
st_r7_shape_7_0160,st_r7_shape_7_0160,-97.8539860588618,22.2159175401566,r7,160
st_r7_shape_7_0161,st_r7_shape_7_0161,-97.8548639077196,22.2143064758868,r7,161
st_r7_shape_7_0162,st_r7_shape_7_0162,-97.8557417358571,22.2126954057179,r7,162
st_r7_shape_7_0163,st_r7_shape_7_0163,-97.8546093730432,22.2128008732197,r7,163
st_r7_shape_7_0164,st_r7_shape_7_0164,-97.8537201166529,22.2144064998788,r7,164
st_r7_shape_7_0165,st_r7_shape_7_0165,-97.8528308393612,22.2160121205077,r7,165
st_r7_shape_7_0166,st_r7_shape_7_0166,-97.8524,22.21679,r7,166
