shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_56-1,28,-97.859640,22.215170
shape_56-1,29,-97.858840,22.214770
shape_56-1,30,-97.857580,22.217140
shape_56-1,31,-97.862690,22.219410
shape_56-1,32,-97.863180,22.220470
shape_56-1,33,-97.863200,22.220930
shape_56-1,34,-97.863450,22.223530
shape_56-1,35,-97.864470,22.223380
shape_56-1,36,-97.865930,22.223880
shape_56-1,37,-97.866520,22.223600
shape_56-1,38,-97.868180,22.227680
shape_56-1,39,-97.869840,22.228150
shape_56-1,40,-97.870750,22.230530
shape_56-1,41,-97.871570,22.231130
shape_56-1,42,-97.872190,22.231430
shape_56-1,43,-97.872580,22.231840
shape_56-1,44,-97.872730,22.232420
shape_56-1,45,-97.872320,22.232870
shape_56-1,46,-97.872200,22.233670
shape_56-1,47,-97.872320,22.234290
shape_56-1,48,-97.872640,22.234890
shape_56-1,49,-97.873140,22.235570
shape_56-1,50,-97.873440,22.237870
shape_73-1,0,-97.857970,22.249400
shape_73-1,1,-97.857550,22.246530
shape_73-1,2,-97.855270,22.245360
shape_73-1,3,-97.855290,22.242700
shape_73-1,4,-97.855180,22.242140
shape_73-1,5,-97.858150,22.240290
shape_73-1,6,-97.859000,22.236640
shape_73-1,7,-97.858830,22.236170
shape_73-1,8,-97.857130,22.234640
shape_73-1,9,-97.857110,22.233980
shape_73-1,10,-97.857240,22.233550
shape_73-1,11,-97.858930,22.231860
shape_73-1,12,-97.859510,22.231120
shape_73-1,13,-97.859680,22.230470
shape_73-1,14,-97.858580,22.226030
shape_73-1,15,-97.857730,22.225510
shape_73-1,16,-97.859440,22.221880
shape_73-1,17,-97.855810,22.220310
shape_73-1,18,-97.859220,22.213980
shape_73-1,19,-97.858350,22.213590
shape_73-1,20,-97.858090,22.214060
shape_73-1,21,-97.858090,22.214060
shape_73-1,22,-97.857730,22.214780
shape_73-1,23,-97.856680,22.216830
shape_73-1,24,-97.854000,22.221660
shape_73-1,25,-97.855950,22.221890
shape_73-1,26,-97.856680,22.222550
shape_73-1,27,-97.856710,22.223480
shape_73-1,28,-97.856210,22.224360
shape_73-1,29,-97.856170,22.224930
shape_73-1,30,-97.856920,22.225450
shape_73-1,31,-97.857730,22.225510
shape_73-1,32,-97.858580,22.226030
shape_73-1,33,-97.859680,22.230470
shape_73-1,34,-97.859510,22.231120
shape_73-1,35,-97.858930,22.231860
shape_73-1,36,-97.857240,22.233550
shape_73-1,37,-97.857110,22.233980
shape_73-1,38,-97.857130,22.234640
shape_73-1,39,-97.858830,22.236170
shape_73-1,40,-97.859000,22.236640
shape_73-1,41,-97.858150,22.240290
shape_73-1,42,-97.855180,22.242140
shape_73-1,43,-97.855290,22.242700
shape_73-1,44,-97.855270,22.245360
shape_73-1,45,-97.857550,22.246530
shape_85-1,0,-97.843250,22.269620
shape_85-1,1,-97.844020,22.271600
shape_85-1,2,-97.841910,22.272370
shape_85-1,3,-97.840910,22.269870
shape_85-1,4,-97.838860,22.270610
shape_85-1,5,-97.838710,22.270310
shape_85-1,6,-97.836920,22.270990
shape_85-1,7,-97.836310,22.269020
shape_85-1,8,-97.838140,22.268090
shape_85-1,9,-97.837540,22.267030
shape_85-1,10,-97.837150,22.266480
shape_85-1,11,-97.835850,22.265180
shape_85-1,12,-97.838130,22.263600
shape_85-1,13,-97.838760,22.263150
shape_85-1,14,-97.837980,22.262380
shape_85-1,15,-97.837780,22.262410
shape_85-1,16,-97.837450,22.262060
shape_85-1,17,-97.839390,22.260450
shape_85-1,18,-97.831540,22.252500
shape_85-1,19,-97.835130,22.249490
shape_85-1,20,-97.836180,22.248240
shape_85-1,21,-97.836600,22.247500
shape_85-1,22,-97.837050,22.246760
shape_85-1,23,-97.836290,22.246420
shape_85-1,24,-97.836290,22.246420
shape_85-1,25,-97.835890,22.247110
shape_85-1,26,-97.835440,22.247810
shape_85-1,27,-97.834870,22.248650
shape_85-1,28,-97.835130,22.249490
shape_85-1,29,-97.830860,22.253040
shape_85-1,30,-97.838760,22.261010
shape_85-1,31,-97.839980,22.262250
shape_85-1,32,-97.839490,22.262620
shape_85-1,33,-97.839080,22.262940
shape_85-1,34,-97.838760,22.263150
shape_85-1,35,-97.838130,22.263600
shape_85-1,36,-97.835850,22.265180
shape_85-1,37,-97.837150,22.266480
shape_85-1,38,-97.837540,22.267030
shape_85-1,39,-97.838140,22.268090
shape_85-1,40,-97.836310,22.269020
shape_85-1,41,-97.836920,22.270990
shape_85-1,42,-97.838710,22.270310
shape_85-1,43,-97.838860,22.270610
shape_85-1,44,-97.840910,22.269870
shape_85-1,45,-97.841910,22.272370
shape_85-1,46,-97.844020,22.271600
shape_71-1,0,-97.833740,22.240480
